x,f(x)
0,8.548e-06
0.001,8.555e-06
0.002,8.576e-06
0.003,8.611e-06
0.004,8.661e-06
0.005,8.724e-06
0.006,8.802e-06
0.007,8.894e-06
0.008,9.001e-06
0.009,9.122e-06
0.01,9.258e-06
0.011,9.409e-06
0.012,9.575e-06
0.013,9.757e-06
0.014,9.954e-06
0.015,1.017e-05
0.016,1.04e-05
0.017,1.064e-05
0.018,1.091e-05
0.019,1.119e-05
0.02,1.148e-05
0.021,1.18e-05
0.022,1.213e-05
0.023,1.248e-05
0.024,1.286e-05
0.025,1.325e-05
0.026,1.366e-05
0.027,1.409e-05
0.028,1.454e-05
0.029,1.502e-05
0.03,1.552e-05
0.031,1.604e-05
0.032,1.658e-05
0.033,1.715e-05
0.034,1.775e-05
0.035,1.837e-05
0.036,1.901e-05
0.037,1.969e-05
0.038,2.039e-05
0.039,2.112e-05
0.04,2.188e-05
0.041,2.268e-05
0.042,2.35e-05
0.043,2.436e-05
0.044,2.525e-05
0.045,2.618e-05
0.046,2.714e-05
0.047,2.814e-05
0.048,2.918e-05
0.049,3.026e-05
0.05,3.138e-05
0.051,3.255e-05
0.052,3.375e-05
0.053,3.5e-05
0.054,3.63e-05
0.055,3.765e-05
0.056,3.905e-05
0.057,4.05e-05
0.058,4.2e-05
0.059,4.355e-05
0.06,4.517e-05
0.061,4.684e-05
0.062,4.857e-05
0.063,5.036e-05
0.064,5.222e-05
0.065,5.414e-05
0.066,5.613e-05
0.067,5.82e-05
0.068,6.033e-05
0.069,6.254e-05
0.07,6.483e-05
0.071,6.72e-05
0.072,6.965e-05
0.073,7.219e-05
0.074,7.481e-05
0.075,7.753e-05
0.076,8.034e-05
0.077,8.324e-05
0.078,8.624e-05
0.079,8.935e-05
0.08,9.257e-05
0.081,9.589e-05
0.082,9.932e-05
0.083,0.0001029
0.084,0.0001065
0.085,0.0001103
0.086,0.0001143
0.087,0.0001183
0.088,0.0001225
0.089,0.0001268
0.09,0.0001313
0.091,0.0001359
0.092,0.0001407
0.093,0.0001456
0.094,0.0001507
0.095,0.000156
0.096,0.0001614
0.097,0.000167
0.098,0.0001728
0.099,0.0001788
0.1,0.0001849
0.101,0.0001913
0.102,0.0001979
0.103,0.0002046
0.104,0.0002116
0.105,0.0002189
0.106,0.0002263
0.107,0.000234
0.108,0.0002419
0.109,0.0002501
0.11,0.0002586
0.111,0.0002673
0.112,0.0002762
0.113,0.0002855
0.114,0.000295
0.115,0.0003049
0.116,0.000315
0.117,0.0003255
0.118,0.0003363
0.119,0.0003474
0.12,0.0003588
0.121,0.0003707
0.122,0.0003828
0.123,0.0003954
0.124,0.0004083
0.125,0.0004216
0.126,0.0004353
0.127,0.0004494
0.128,0.000464
0.129,0.0004789
0.13,0.0004944
0.131,0.0005103
0.132,0.0005266
0.133,0.0005434
0.134,0.0005608
0.135,0.0005786
0.136,0.000597
0.137,0.0006159
0.138,0.0006354
0.139,0.0006554
0.14,0.000676
0.141,0.0006972
0.142,0.000719
0.143,0.0007415
0.144,0.0007646
0.145,0.0007883
0.146,0.0008128
0.147,0.0008379
0.148,0.0008637
0.149,0.0008903
0.15,0.0009176
0.151,0.0009457
0.152,0.0009746
0.153,0.001004
0.154,0.001035
0.155,0.001066
0.156,0.001098
0.157,0.001131
0.158,0.001165
0.159,0.0012
0.16,0.001236
0.161,0.001273
0.162,0.001311
0.163,0.00135
0.164,0.00139
0.165,0.001431
0.166,0.001473
0.167,0.001517
0.168,0.001561
0.169,0.001607
0.17,0.001654
0.171,0.001702
0.172,0.001751
0.173,0.001802
0.174,0.001854
0.175,0.001907
0.176,0.001962
0.177,0.002018
0.178,0.002076
0.179,0.002135
0.18,0.002195
0.181,0.002258
0.182,0.002321
0.183,0.002387
0.184,0.002454
0.185,0.002523
0.186,0.002593
0.187,0.002666
0.188,0.00274
0.189,0.002816
0.19,0.002894
0.191,0.002973
0.192,0.003055
0.193,0.003139
0.194,0.003225
0.195,0.003313
0.196,0.003403
0.197,0.003495
0.198,0.00359
0.199,0.003687
0.2,0.003786
0.201,0.003888
0.202,0.003992
0.203,0.004098
0.204,0.004207
0.205,0.004319
0.206,0.004433
0.207,0.00455
0.208,0.00467
0.209,0.004792
0.21,0.004918
0.211,0.005046
0.212,0.005177
0.213,0.005312
0.214,0.005449
0.215,0.005589
0.216,0.005733
0.217,0.00588
0.218,0.006031
