x,f(x)
0.31,0.07846
0.311,0.07929
0.312,0.08012
0.313,0.08096
0.314,0.0818
0.315,0.08265
0.316,0.08351
0.317,0.08437
0.318,0.08525
0.319,0.08612
0.32,0.08701
0.321,0.0879
0.322,0.0888
0.323,0.0897
0.324,0.09061
0.325,0.09153
0.326,0.09246
0.327,0.09339
0.328,0.09433
0.329,0.09527
0.33,0.09623
0.331,0.09718
0.332,0.09815
0.333,0.09913
0.334,0.1001
0.335,0.1011
0.336,0.1021
0.337,0.1031
0.338,0.1041
0.339,0.1051
0.34,0.1061
0.341,0.1072
0.342,0.1082
0.343,0.1093
0.344,0.1103
0.345,0.1114
0.346,0.1124
0.347,0.1135
0.348,0.1146
0.349,0.1157
0.35,0.1168
0.351,0.1179
0.352,0.119
0.353,0.1201
0.354,0.1212
0.355,0.1224
0.356,0.1235
0.357,0.1247
0.358,0.1258
0.359,0.127
0.36,0.1281
0.361,0.1293
0.362,0.1305
0.363,0.1317
0.364,0.1329
0.365,0.1341
0.366,0.1353
0.367,0.1365
0.368,0.1378
0.369,0.139
0.37,0.1403
0.371,0.1415
0.372,0.1428
0.373,0.144
0.374,0.1453
0.375,0.1466
0.376,0.1479
0.377,0.1492
0.378,0.1505
0.379,0.1518
0.38,0.1531
0.381,0.1545
0.382,0.1558
0.383,0.1571
0.384,0.1585
0.385,0.1599
0.386,0.1612
0.387,0.1626
0.388,0.164
0.389,0.1654
0.39,0.1668
0.391,0.1682
0.392,0.1696
0.393,0.171
0.394,0.1724
0.395,0.1739
0.396,0.1753
0.397,0.1768
0.398,0.1782
0.399,0.1797
0.4,0.1812
0.401,0.1826
0.402,0.1841
0.403,0.1856
0.404,0.1871
0.405,0.1886
0.406,0.1902
0.407,0.1917
0.408,0.1932
0.409,0.1948
0.41,0.1963
0.411,0.1979
0.412,0.1994
0.413,0.201
0.414,0.2026
0.415,0.2042
0.416,0.2057
0.417,0.2073
0.418,0.209
0.419,0.2106
0.42,0.2122
0.421,0.2138
0.422,0.2155
0.423,0.2171
0.424,0.2187
0.425,0.2204
0.426,0.2221
0.427,0.2237
0.428,0.2254
0.429,0.2271
0.43,0.2288
0.431,0.2305
0.432,0.2322
0.433,0.2339
0.434,0.2356
0.435,0.2374
0.436,0.2391
0.437,0.2409
0.438,0.2426
0.439,0.2444
0.44,0.2461
0.441,0.2479
0.442,0.2497
0.443,0.2515
0.444,0.2532
0.445,0.255
0.446,0.2568
0.447,0.2587
0.448,0.2605
0.449,0.2623
0.45,0.2641
0.451,0.266
0.452,0.2678
0.453,0.2697
0.454,0.2715
0.455,0.2734
0.456,0.2752
0.457,0.2771
0.458,0.279
0.459,0.2809
0.46,0.2828
0.461,0.2847
0.462,0.2866
0.463,0.2885
0.464,0.2904
0.465,0.2923
0.466,0.2943
0.467,0.2962
0.468,0.2981
0.469,0.3001
0.47,0.302
0.471,0.304
0.472,0.306
0.473,0.3079
0.474,0.3099
0.475,0.3119
0.476,0.3139
0.477,0.3159
0.478,0.3179
0.479,0.3199
0.48,0.3219
0.481,0.3239
0.482,0.3259
0.483,0.3279
0.484,0.3299
0.485,0.332
0.486,0.334
0.487,0.3361
0.488,0.3381
0.489,0.3402
0.49,0.3422
0.491,0.3443
0.492,0.3463
0.493,0.3484
0.494,0.3505
0.495,0.3526
0.496,0.3546
0.497,0.3567
0.498,0.3588
0.499,0.3609
0.5,0.363
0.501,0.3651
0.502,0.3672
0.503,0.3694
0.504,0.3715
0.505,0.3736
0.506,0.3757
0.507,0.3779
0.508,0.38
0.509,0.3821
0.51,0.3843
0.511,0.3864
0.512,0.3885
0.513,0.3907
0.514,0.3929
0.515,0.395
0.516,0.3972
0.517,0.3993
0.518,0.4015
0.519,0.4037
0.52,0.4058
0.521,0.408
0.522,0.4102
0.523,0.4124
0.524,0.4146
0.525,0.4167
0.526,0.4189
0.527,0.4211
0.528,0.4233
0.529,0.4255
0.53,0.4277
0.531,0.4299
0.532,0.4321
0.533,0.4343
0.534,0.4365
0.535,0.4387
0.536,0.441
0.537,0.4432
0.538,0.4454
0.539,0.4476
0.54,0.4498
0.541,0.452
0.542,0.4543
0.543,0.4565
0.544,0.4587
0.545,0.4609
0.546,0.4632
0.547,0.4654
0.548,0.4676
0.549,0.4698
0.55,0.4721
0.551,0.4743
0.552,0.4765
0.553,0.4788
0.554,0.481
0.555,0.4832
0.556,0.4855
0.557,0.4877
0.558,0.4899
0.559,0.4922
0.56,0.4944
0.561,0.4966
0.562,0.4989
0.563,0.5011
0.564,0.5034
0.565,0.5056
0.566,0.5078
0.567,0.5101
0.568,0.5123
0.569,0.5145
0.57,0.5168
0.571,0.519
0.572,0.5212
0.573,0.5235
0.574,0.5257
0.575,0.5279
0.576,0.5302
0.577,0.5324
0.578,0.5346
0.579,0.5368
0.58,0.5391
0.581,0.5413
0.582,0.5435
0.583,0.5457
0.584,0.548
0.585,0.5502
0.586,0.5524
0.587,0.5546
0.588,0.5568
0.589,0.559
0.59,0.5613
0.591,0.5635
0.592,0.5657
0.593,0.5679
0.594,0.5701
0.595,0.5723
0.596,0.5745
0.597,0.5767
0.598,0.5789
0.599,0.5811
0.6,0.5833
0.601,0.5854
0.602,0.5876
0.603,0.5898
0.604,0.592
0.605,0.5942
0.606,0.5963
0.607,0.5985
0.608,0.6007
0.609,0.6028
0.61,0.605
0.611,0.6071
0.612,0.6093
0.613,0.6115
0.614,0.6136
0.615,0.6157
0.616,0.6179
0.617,0.62
0.618,0.6221
0.619,0.6243
0.62,0.6264
0.621,0.6285
0.622,0.6306
0.623,0.6328
0.624,0.6349
0.625,0.637
0.626,0.6391
0.627,0.6412
0.628,0.6433
0.629,0.6453
0.63,0.6474
0.631,0.6495
0.632,0.6516
0.633,0.6537
0.634,0.6557
0.635,0.6578
0.636,0.6598
0.637,0.6619
0.638,0.6639
0.639,0.666
0.64,0.668
0.641,0.6701
0.642,0.6721
0.643,0.6741
0.644,0.6761
0.645,0.6781
0.646,0.6801
0.647,0.6821
0.648,0.6841
0.649,0.6861
0.65,0.6881
0.651,0.6901
0.652,0.6921
0.653,0.694
0.654,0.696
0.655,0.698
0.656,0.6999
0.657,0.7019
0.658,0.7038
0.659,0.7057
0.66,0.7077
0.661,0.7096
0.662,0.7115
0.663,0.7134
0.664,0.7153
0.665,0.7172
0.666,0.7191
0.667,0.721
0.668,0.7229
0.669,0.7248
0.67,0.7266
0.671,0.7285
0.672,0.7303
0.673,0.7322
0.674,0.734
0.675,0.7359
0.676,0.7377
0.677,0.7395
0.678,0.7413
0.679,0.7431
0.68,0.7449
0.681,0.7467
0.682,0.7485
0.683,0.7503
0.684,0.7521
0.685,0.7539
0.686,0.7556
0.687,0.7574
0.688,0.7591
0.689,0.7609
0.69,0.7626
0.691,0.7643
0.692,0.7661
0.693,0.7678
0.694,0.7695
0.695,0.7712
0.696,0.7729
0.697,0.7746
0.698,0.7762
0.699,0.7779
0.7,0.7796
0.701,0.7812
0.702,0.7829
0.703,0.7845
0.704,0.7862
0.705,0.7878
0.706,0.7894
0.707,0.791
0.708,0.7926
0.709,0.7942
0.71,0.7958
0.711,0.7974
0.712,0.799
0.713,0.8006
0.714,0.8021
0.715,0.8037
0.716,0.8052
0.717,0.8068
0.718,0.8083
0.719,0.8098
0.72,0.8113
0.721,0.8129
0.722,0.8144
0.723,0.8159
0.724,0.8173
0.725,0.8188
0.726,0.8203
0.727,0.8218
0.728,0.8232
0.729,0.8247
0.73,0.8261
0.731,0.8275
0.732,0.829
0.733,0.8304
0.734,0.8318
0.735,0.8332
0.736,0.8346
0.737,0.836
0.738,0.8374
0.739,0.8387
0.74,0.8401
0.741,0.8415
0.742,0.8428
0.743,0.8442
0.744,0.8455
0.745,0.8468
0.746,0.8481
0.747,0.8495
0.748,0.8508
0.749,0.8521
0.75,0.8534
0.751,0.8546
0.752,0.8559
0.753,0.8572
0.754,0.8584
0.755,0.8597
0.756,0.8609
0.757,0.8622
0.758,0.8634
0.759,0.8646
0.76,0.8658
0.761,0.867
0.762,0.8682
0.763,0.8694
0.764,0.8706
0.765,0.8718
0.766,0.873
0.767,0.8741
0.768,0.8753
0.769,0.8764
0.77,0.8776
