x,f(x)
0.316,0.02534
0.317,0.02581
0.318,0.02629
0.319,0.02678
0.32,0.02727
0.321,0.02777
0.322,0.02828
0.323,0.0288
0.324,0.02932
0.325,0.02985
0.326,0.03039
0.327,0.03094
0.328,0.0315
0.329,0.03207
0.33,0.03264
0.331,0.03323
0.332,0.03382
0.333,0.03442
0.334,0.03503
0.335,0.03565
0.336,0.03627
0.337,0.03691
0.338,0.03755
0.339,0.03821
0.34,0.03887
0.341,0.03954
0.342,0.04022
0.343,0.04091
0.344,0.04161
0.345,0.04232
0.346,0.04304
0.347,0.04377
0.348,0.04451
0.349,0.04526
0.35,0.04602
0.351,0.04679
0.352,0.04757
0.353,0.04836
0.354,0.04917
0.355,0.04998
0.356,0.0508
0.357,0.05164
0.358,0.05248
0.359,0.05333
0.36,0.0542
0.361,0.05508
0.362,0.05596
0.363,0.05686
0.364,0.05777
0.365,0.05869
0.366,0.05963
0.367,0.06057
0.368,0.06153
0.369,0.0625
0.37,0.06348
0.371,0.06448
0.372,0.06548
0.373,0.0665
0.374,0.06753
0.375,0.06857
0.376,0.06963
0.377,0.07069
0.378,0.07177
0.379,0.07286
0.38,0.07397
0.381,0.07508
0.382,0.07621
0.383,0.07735
0.384,0.07851
0.385,0.07968
0.386,0.08086
0.387,0.08205
0.388,0.08326
0.389,0.08448
0.39,0.08572
0.391,0.08697
0.392,0.08823
0.393,0.08951
0.394,0.0908
0.395,0.0921
0.396,0.09342
0.397,0.09475
0.398,0.09609
0.399,0.09745
0.4,0.09882
0.401,0.1002
0.402,0.1016
0.403,0.103
0.404,0.1044
0.405,0.1059
0.406,0.1073
0.407,0.1088
0.408,0.1103
0.409,0.1118
0.41,0.1133
0.411,0.1149
0.412,0.1164
0.413,0.118
0.414,0.1195
0.415,0.1211
0.416,0.1227
0.417,0.1243
0.418,0.126
0.419,0.1276
0.42,0.1293
0.421,0.131
0.422,0.1327
0.423,0.1344
0.424,0.1361
0.425,0.1378
0.426,0.1396
0.427,0.1414
0.428,0.1431
0.429,0.1449
0.43,0.1467
0.431,0.1486
0.432,0.1504
0.433,0.1523
0.434,0.1542
0.435,0.1561
0.436,0.158
0.437,0.1599
0.438,0.1618
0.439,0.1638
0.44,0.1657
0.441,0.1677
0.442,0.1697
0.443,0.1717
0.444,0.1737
0.445,0.1758
0.446,0.1778
0.447,0.1799
0.448,0.182
0.449,0.1841
0.45,0.1862
0.451,0.1884
0.452,0.1905
0.453,0.1927
0.454,0.1948
0.455,0.197
0.456,0.1992
0.457,0.2015
0.458,0.2037
0.459,0.206
0.46,0.2082
0.461,0.2105
0.462,0.2128
0.463,0.2151
0.464,0.2174
0.465,0.2198
0.466,0.2221
0.467,0.2245
0.468,0.2269
0.469,0.2293
0.47,0.2317
0.471,0.2341
0.472,0.2365
0.473,0.239
0.474,0.2415
0.475,0.2439
0.476,0.2464
0.477,0.2489
0.478,0.2515
0.479,0.254
0.48,0.2565
0.481,0.2591
0.482,0.2617
0.483,0.2643
0.484,0.2669
0.485,0.2695
0.486,0.2721
0.487,0.2747
0.488,0.2774
0.489,0.28
0.49,0.2827
0.491,0.2854
0.492,0.2881
0.493,0.2908
0.494,0.2935
0.495,0.2963
0.496,0.299
0.497,0.3018
0.498,0.3046
0.499,0.3073
0.5,0.3101
0.501,0.3129
0.502,0.3157
0.503,0.3186
0.504,0.3214
0.505,0.3242
0.506,0.3271
0.507,0.33
0.508,0.3328
0.509,0.3357
0.51,0.3386
0.511,0.3415
0.512,0.3444
0.513,0.3474
0.514,0.3503
0.515,0.3532
0.516,0.3562
0.517,0.3592
0.518,0.3621
0.519,0.3651
0.52,0.3681
0.521,0.3711
0.522,0.3741
0.523,0.3771
0.524,0.3801
0.525,0.3831
0.526,0.3861
0.527,0.3892
0.528,0.3922
0.529,0.3953
0.53,0.3983
0.531,0.4014
0.532,0.4045
0.533,0.4075
0.534,0.4106
0.535,0.4137
0.536,0.4168
