x,f(x)
0.277,-8.828e-06
0.278,-2.196e-05
0.279,-3.298e-05
0.28,-4.081e-05
0.281,-4.47e-05
0.282,-4.426e-05
0.283,-3.952e-05
0.284,-3.095e-05
0.285,-1.936e-05
0.286,-5.871e-06
0.287,8.205e-06
0.288,2.151e-05
0.289,3.274e-05
0.29,4.082e-05
0.291,4.495e-05
0.292,4.472e-05
0.293,4.016e-05
0.294,3.17e-05
0.295,2.014e-05
0.296,6.617e-06
0.297,-7.572e-06
0.298,-2.105e-05
0.299,-3.251e-05
0.3,-4.083e-05
0.301,-4.52e-05
0.302,-4.52e-05
0.303,-4.081e-05
0.304,-3.246e-05
0.305,-2.094e-05
0.306,-7.374e-06
0.307,6.93e-06
0.308,2.058e-05
0.309,3.227e-05
0.31,4.084e-05
0.311,4.546e-05
0.312,4.568e-05
0.313,4.147e-05
0.314,3.323e-05
0.315,2.175e-05
0.316,8.143e-06
0.317,-6.277e-06
0.318,-2.011e-05
0.319,-3.202e-05
0.32,-4.084e-05
0.321,-4.572e-05
0.322,-4.617e-05
0.323,-4.214e-05
0.324,-3.401e-05
0.325,-2.257e-05
0.326,-8.926e-06
0.327,5.613e-06
0.328,1.963e-05
0.329,3.177e-05
0.33,4.085e-05
0.331,4.599e-05
0.332,4.667e-05
0.333,4.282e-05
0.334,3.481e-05
0.335,2.341e-05
0.336,9.723e-06
0.337,-4.937e-06
0.338,-1.915e-05
0.339,-3.152e-05
0.34,-4.086e-05
0.341,-4.626e-05
0.342,-4.717e-05
0.343,-4.351e-05
0.344,-3.563e-05
0.345,-2.427e-05
0.346,-1.053e-05
0.347,4.249e-06
0.348,1.865e-05
0.349,3.127e-05
0.35,4.087e-05
0.351,4.653e-05
0.352,4.769e-05
0.353,4.422e-05
0.354,3.646e-05
0.355,2.514e-05
0.356,1.136e-05
0.357,-3.548e-06
0.358,-1.814e-05
0.359,-3.1e-05
0.36,-4.088e-05
0.361,-4.682e-05
0.362,-4.822e-05
0.363,-4.495e-05
0.364,-3.73e-05
0.365,-2.603e-05
0.366,-1.22e-05
0.367,2.834e-06
0.368,1.763e-05
0.369,3.074e-05
0.37,4.09e-05
0.371,4.711e-05
0.372,4.876e-05
0.373,4.568e-05
0.374,3.817e-05
0.375,2.693e-05
0.376,1.306e-05
0.377,-2.104e-06
0.378,-1.71e-05
0.379,-3.047e-05
0.38,-4.091e-05
0.381,-4.74e-05
0.382,-4.931e-05
0.383,-4.643e-05
0.384,-3.905e-05
0.385,-2.786e-05
